federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
075-5736,"10-Year Pediatric Research Initiative Fund, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
070-5702,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,78400300.85,0.00,58036030.15,0.00,0.00,0.00,0.00,136436331.00,70669262.13,0.00,65767068.87,19126147.58,136436331.00
014-2637,"Aamodt Settlement Pueblos' Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,3003725.49,0.00,0.00,0.00,0.00,3003725.49,3003725.49,0.00,0.00,3003725.49,3003725.49
014-5015,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,70098307.01,19464165.53,299028061.95,0.00,0.00,38460.82,38460.82,388628995.31,214770314.59,19464165.53,173858680.72,231657271.98,388628995.31
014-2640,"Abandoned Well Remediation Fund, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,9293801.91,2009959.81,0.00,0.00,0.00,0.00,0.00,11303761.72,10856640.63,2009959.81,447121.09,6785763.21,11303761.72
068-0118,"Abatement, Control and Compliance Loan Program, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0.92,-0.46,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.46,0.00,0.46
069-0503,"Access Highways to Public Recreation Areas on Certain Lakes, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,352333.19,0.00,0.00,0.00,0.00,0.00,0.00,352333.19,0.00,0.00,352333.19,0.00,352333.19
070-0613,"Acquisition, Construction, and Improvements, Coast Guard, Homeland Security",Department of Homeland Security,Transportation,Water transportation,1559452012.40,21758637.05,1279852832.00,0.00,0.00,52494581.00,52494581.00,2913558062.45,1750693172.54,56243853.12,1162864889.91,1472298004.19,2913558062.45
070-0510,"Acquisition, Construction, Improvements and Related Expenses, Federal Law Enforcement Training Center, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,107959468.69,1150609.97,0.00,0.00,0.00,15955757.43,15955757.43,125065836.09,23636469.29,1150609.97,101429366.80,255200339.92,125065836.09
070-0401,"Acquisition, Construction, Improvements, and Related Expenses, United States Secret Service, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,13324093.81,16123209.44,168319499.00,0.00,0.00,0.00,0.00,197766802.25,149878391.16,146209.44,47888411.09,57837702.17,197766802.25
012-5208,"Acquisition of Lands for National Forests, Special Acts, Forest Service",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1303757.09,-309968.84,950000.00,0.00,0.00,0.00,0.00,1943788.25,850000.00,67196.94,1093788.25,0.00,1943788.25
